country,product_id,product_name,category,units_sold,avg_stock
Spain,3,Soft Linen Tee,T-Shirts,7,0.0
Portugal,133,Classic Sleeveless Tee,T-Shirts,7,0.0
Spain,96,Modern High-Waist Tee,T-Shirts,7,0.0
Netherlands,211,Polished Cotton Shoes,Shoes,7,0.0
Netherlands,201,Vintage Sleeveless Tee,T-Shirts,7,0.0
Netherlands,161,Vintage Linen Tee,T-Shirts,7,0.0
Netherlands,5,Soft Wrap Trousers,Pants,7,0.0
Netherlands,52,Modern Linen Tee,T-Shirts,7,0.0
Portugal,206,Vintage Silk Trousers,Pants,7,0.0
Italy,116,Modern High-Waist Trousers,Pants,7,0.0
Spain,374,Tailored Cotton Set,Sleepwear,7,0.0
Italy,235,Polished Cotton Set,Sleepwear,7,0.0
Spain,304,Essential Silk Tee,T-Shirts,7,0.0
Italy,345,Tailored Crew Tee,T-Shirts,7,0.0
Italy,348,Essential Silk Set,Sleepwear,7,0.0
Italy,367,Tailored Silk Dress,Dresses,7,0.0
Italy,192,Polished Silk Dress,Dresses,7,0.0
Spain,275,Relaxed Sleeveless Tee,T-Shirts,7,0.0
Italy,150,Vintage Wrap Tee,T-Shirts,7,0.0
Italy,312,Essential Satin Dress,Dresses,7,0.0
Spain,266,Polished Crew Trousers,Pants,7,0.0
Italy,422,Elegant High-Waist Set,Sleepwear,7,0.0
Italy,143,Classic Satin Set,Sleepwear,7,0.0
Italy,89,Modern Satin Shoes,Shoes,7,0.0
Spain,461,Bold High-Waist Tee,T-Shirts,7,0.0
Italy,468,Sleepwear Drop 1,Sleepwear,7,0.0
Spain,439,Tailored Linen Trousers,Pants,7,0.0
Spain,468,Sleepwear Drop 1,Sleepwear,7,0.0
Spain,231,Polished High-Waist Shoes,Shoes,7,0.0
Italy,69,Modern Linen Shoes,Shoes,7,0.0
Spain,237,Relaxed Ribbed Dress,Dresses,7,0.0
Netherlands,344,Tailored Silk Tee,T-Shirts,6,0.0
Netherlands,363,Tailored Cotton Dress,Dresses,6,0.0
Italy,224,Relaxed Linen Dress,Dresses,6,0.0
Portugal,115,Modern High-Waist Set,Sleepwear,6,0.0
Portugal,34,Modern Linen Dress,Dresses,6,0.0
Italy,216,Polished Satin Shoes,Shoes,6,0.0
Italy,230,Polished Ribbed Set,Sleepwear,6,0.0
Italy,233,Relaxed Wrap Shoes,Shoes,6,0.0
Portugal,217,Polished Cotton Tee,T-Shirts,6,0.0
Italy,299,Essential Wrap Dress,Dresses,6,0.0
Portugal,487,Bold High-Waist Shoes,Shoes,6,0.0
Spain,390,Tailored Boxy Shoes,Shoes,6,0.0
Spain,449,Bold Satin Set,Sleepwear,6,0.0
Italy,47,Soft High-Waist Tee,T-Shirts,6,0.0
Spain,398,Elegant Linen Set,Sleepwear,6,0.0
Italy,103,Classic Ribbed Tee,T-Shirts,6,0.0
Netherlands,391,Elegant Wrap Dress,Dresses,6,0.0
Spain,420,Elegant Sleeveless Shoes,Shoes,6,0.0
Italy,156,Vintage Crew Dress,Dresses,6,0.0
Netherlands,427,Bold Wrap Set,Sleepwear,6,0.0
Spain,423,Elegant Boxy Tee,T-Shirts,6,0.0
Spain,445,Bold Cotton Set,Sleepwear,6,0.0
Netherlands,459,Bold High-Waist Dress,Dresses,6,0.0
Netherlands,463,Bold Boxy Dress,Dresses,6,0.0
Netherlands,473,Dresses Drop 2,Dresses,6,0.0
Italy,107,Classic Linen Shoes,Shoes,6,0.0
Spain,25,Soft Wrap Set,Sleepwear,6,0.0
Spain,370,Elegant Ribbed Tee,T-Shirts,6,0.0
Spain,28,Soft Sleeveless Shoes,Shoes,6,0.0
Netherlands,54,Modern Silk Dress,Dresses,6,0.0
Netherlands,121,Classic Cotton Shoes,Shoes,6,0.0
Netherlands,124,Classic Linen Set,Sleepwear,6,0.0
Netherlands,135,Classic Sleeveless Shoes,Shoes,6,0.0
Netherlands,137,Classic Satin Trousers,Pants,6,0.0
Netherlands,95,Modern Crew Set,Sleepwear,6,0.0
Italy,399,Elegant Linen Shoes,Shoes,6,0.0
Italy,372,Essential Linen Trousers,Pants,6,0.0
Netherlands,80,Classic Ribbed Dress,Dresses,6,0.0
Italy,370,Elegant Ribbed Tee,T-Shirts,6,0.0
Netherlands,70,Modern Boxy Dress,Dresses,6,0.0
Netherlands,219,Polished Silk Shoes,Shoes,6,0.0
Netherlands,224,Relaxed Linen Dress,Dresses,6,0.0
Spain,313,Relaxed Crew Set,Sleepwear,6,0.0
Italy,366,Essential Wrap Trousers,Pants,6,0.0
Italy,491,T-Shirts Drop 6,T-Shirts,6,0.0
Netherlands,40,Soft High-Waist Trousers,Pants,6,0.0
Italy,488,Sleepwear Drop 3,Sleepwear,6,0.0
Spain,336,Tailored Ribbed Tee,T-Shirts,6,0.0
Spain,88,Modern Satin Set,Sleepwear,6,0.0
Portugal,269,Relaxed Crew Dress,Dresses,5,0.0
Spain,214,Vintage Crew Trousers,Pants,5,0.0
Spain,262,Polished Sleeveless Set,Sleepwear,5,0.0
Spain,248,Polished Boxy Tee,T-Shirts,5,0.0
Portugal,315,Essential Sleeveless Tee,T-Shirts,5,0.0
Portugal,310,Relaxed Ribbed Trousers,Pants,5,0.0
Portugal,307,Essential Crew Tee,T-Shirts,5,0.0
Spain,467,Tailored Cotton Trousers,Pants,5,0.0
Portugal,239,Polished Wrap Trousers,Pants,5,0.0
Portugal,250,Relaxed Satin Shoes,Shoes,5,0.0
Portugal,303,Relaxed Satin Set,Sleepwear,5,0.0
Spain,173,Polished Linen Dress,Dresses,5,0.0
Spain,433,Essential Boxy Trousers,Pants,5,0.0
Portugal,302,Essential Satin Tee,T-Shirts,5,0.0
Portugal,293,Essential Crew Shoes,Shoes,5,0.0
Spain,242,Relaxed Ribbed Shoes,Shoes,5,0.0
Portugal,185,Vintage Linen Trousers,Pants,5,0.0
Portugal,349,Tailored Satin Shoes,Shoes,5,0.0
Spain,175,Vintage Cotton Tee,T-Shirts,5,0.0
Portugal,261,Relaxed Cotton Tee,T-Shirts,5,0.0
Spain,180,Vintage Sleeveless Shoes,Shoes,5,0.0
Spain,430,Bold Linen Set,Sleepwear,5,0.0
Portugal,362,Tailored Ribbed Set,Sleepwear,5,0.0
Spain,154,Classic Crew Set,Sleepwear,5,0.0
Spain,265,Relaxed Boxy Shoes,Shoes,5,0.0
Spain,8,Soft Linen Trousers,Pants,5,0.0
Spain,337,Essential Linen Set,Sleepwear,5,0.0
Spain,353,Relaxed High-Waist Trousers,Pants,5,0.0
Portugal,499,Sleepwear Drop 4,Sleepwear,5,0.0
Spain,356,Essential High-Waist Set,Sleepwear,5,0.0
Spain,62,Modern Linen Trousers,Pants,5,0.0
Spain,357,Essential Boxy Set,Sleepwear,5,0.0
Portugal,476,Bold Satin Shoes,Shoes,5,0.0
Spain,184,Vintage Wrap Trousers,Pants,5,0.0
Spain,79,Modern Satin Trousers,Pants,5,0.0
Spain,95,Modern Crew Set,Sleepwear,5,0.0
Portugal,429,Bold Wrap Tee,T-Shirts,5,0.0
Spain,112,Modern Sleeveless Set,Sleepwear,5,0.0
Spain,125,Classic Satin Shoes,Shoes,5,0.0
Portugal,409,Elegant Ribbed Shoes,Shoes,5,0.0
Portugal,401,Elegant Cotton Dress,Dresses,5,0.0
Spain,405,Elegant Silk Dress,Dresses,5,0.0
Spain,276,Relaxed High-Waist Tee,T-Shirts,5,0.0
Portugal,389,Tailored Boxy Set,Sleepwear,5,0.0
Portugal,382,Tailored Sleeveless Dress,Dresses,5,0.0
Portugal,376,Tailored Satin Set,Sleepwear,5,0.0
Spain,421,Elegant Sleeveless Set,Sleepwear,5,0.0
Portugal,367,Tailored Silk Dress,Dresses,5,0.0
Spain,54,Modern Silk Dress,Dresses,5,0.0
Spain,270,Relaxed Silk Tee,T-Shirts,5,0.0
Spain,428,Elegant High-Waist Shoes,Shoes,5,0.0
Portugal,354,Tailored High-Waist Tee,T-Shirts,5,0.0
Spain,202,Vintage High-Waist Tee,T-Shirts,5,0.0
Italy,1,Soft Wrap Dress,Dresses,5,0.0
Portugal,184,Vintage Wrap Trousers,Pants,5,0.0
Italy,431,Elegant Boxy Shoes,Shoes,5,0.0
Italy,318,Essential Boxy Tee,T-Shirts,5,0.0
Italy,321,Relaxed Cotton Trousers,Pants,5,0.0
Italy,336,Tailored Ribbed Tee,T-Shirts,5,0.0
Italy,353,Relaxed High-Waist Trousers,Pants,5,0.0
Italy,364,Tailored Satin Dress,Dresses,5,0.0
Italy,390,Tailored Boxy Shoes,Shoes,5,0.0
Italy,392,Elegant Wrap Shoes,Shoes,5,0.0
Italy,405,Elegant Silk Dress,Dresses,5,0.0
Italy,413,Elegant Satin Shoes,Shoes,5,0.0
Italy,416,Essential High-Waist Trousers,Pants,5,0.0
Italy,428,Elegant High-Waist Shoes,Shoes,5,0.0
Italy,447,Bold Satin Dress,Dresses,5,0.0
Italy,307,Essential Crew Tee,T-Shirts,5,0.0
Italy,450,Bold Silk Set,Sleepwear,5,0.0
Italy,464,Bold Ribbed Shoes,Shoes,5,0.0
Italy,472,Tailored Satin Trousers,Pants,5,0.0
Italy,474,Bold Cotton Shoes,Shoes,5,0.0
Italy,482,Dresses Drop 6,Dresses,5,0.0
Italy,492,Tailored Crew Trousers,Pants,5,0.0
Italy,494,T-Shirts Drop 7,T-Shirts,5,0.0
Netherlands,4,Soft Ribbed Tee,T-Shirts,5,0.0
Netherlands,28,Soft Sleeveless Shoes,Shoes,5,0.0
Netherlands,53,Soft Boxy Shoes,Shoes,5,0.0
Netherlands,65,Modern Silk Tee,T-Shirts,5,0.0
Italy,311,Essential Cotton Dress,Dresses,5,0.0
Italy,301,Essential Linen Dress,Dresses,5,0.0
Netherlands,92,Modern Crew Shoes,Shoes,5,0.0
Italy,132,Classic Crew Shoes,Shoes,5,0.0
Italy,21,Soft Silk Shoes,Shoes,5,0.0
Italy,30,Soft Satin Trousers,Pants,5,0.0
Italy,32,Soft Silk Tee,T-Shirts,5,0.0
Italy,34,Modern Linen Dress,Dresses,5,0.0
Italy,50,Modern Wrap Tee,T-Shirts,5,0.0
Italy,55,Modern Ribbed Tee,T-Shirts,5,0.0
Italy,95,Modern Crew Set,Sleepwear,5,0.0
Italy,100,Classic Crew Dress,Dresses,5,0.0
Italy,102,Classic Linen Tee,T-Shirts,5,0.0
Italy,113,Classic Boxy Dress,Dresses,5,0.0
Italy,126,Classic Silk Shoes,Shoes,5,0.0
Italy,140,Vintage Ribbed Dress,Dresses,5,0.0
Italy,290,Relaxed Cotton Set,Sleepwear,5,0.0
Italy,147,Vintage Linen Shoes,Shoes,5,0.0
Italy,157,Classic Sleeveless Set,Sleepwear,5,0.0
Italy,186,Vintage Boxy Shoes,Shoes,5,0.0
Italy,193,Vintage Silk Tee,T-Shirts,5,0.0
Italy,200,Vintage High-Waist Set,Sleepwear,5,0.0
Italy,213,Polished Ribbed Tee,T-Shirts,5,0.0
Italy,219,Polished Silk Shoes,Shoes,5,0.0
Italy,223,Vintage High-Waist Trousers,Pants,5,0.0
Italy,246,Relaxed Satin Dress,Dresses,5,0.0
Italy,249,Polished Silk Set,Sleepwear,5,0.0
Italy,276,Relaxed High-Waist Tee,T-Shirts,5,0.0
Netherlands,78,Modern Ribbed Shoes,Shoes,5,0.0
Netherlands,102,Classic Linen Tee,T-Shirts,5,0.0
Portugal,166,Vintage Satin Shoes,Shoes,5,0.0
Netherlands,475,Dresses Drop 3,Dresses,5,0.0
Netherlands,378,Essential Ribbed Trousers,Pants,5,0.0
Netherlands,382,Tailored Sleeveless Dress,Dresses,5,0.0
Netherlands,394,Elegant Silk Tee,T-Shirts,5,0.0
Netherlands,396,Elegant Crew Tee,T-Shirts,5,0.0
Netherlands,411,Elegant Silk Set,Sleepwear,5,0.0
Netherlands,418,Elegant Crew Shoes,Shoes,5,0.0
Netherlands,431,Elegant Boxy Shoes,Shoes,5,0.0
Netherlands,432,Bold Linen Tee,T-Shirts,5,0.0
Netherlands,442,Bold Ribbed Dress,Dresses,5,0.0
Netherlands,458,Bold Sleeveless Set,Sleepwear,5,0.0
Netherlands,468,Sleepwear Drop 1,Sleepwear,5,0.0
Netherlands,476,Bold Satin Shoes,Shoes,5,0.0
Netherlands,338,Essential Ribbed Set,Sleepwear,5,0.0
Netherlands,482,Dresses Drop 6,Dresses,5,0.0
Netherlands,483,T-Shirts Drop 3,T-Shirts,5,0.0
Netherlands,489,T-Shirts Drop 5,T-Shirts,5,0.0
Portugal,13,Soft Cotton Shoes,Shoes,5,0.0
Portugal,19,Soft Silk Dress,Dresses,5,0.0
Portugal,78,Modern Ribbed Shoes,Shoes,5,0.0
Portugal,82,Classic Cotton Dress,Dresses,5,0.0
Portugal,86,Modern Cotton Set,Sleepwear,5,0.0
Portugal,118,Classic Silk Tee,T-Shirts,5,0.0
Portugal,123,Classic Wrap Set,Sleepwear,5,0.0
Portugal,163,Vintage Wrap Set,Sleepwear,5,0.0
Netherlands,369,Tailored Crew Dress,Dresses,5,0.0
Netherlands,330,Essential Wrap Set,Sleepwear,5,0.0
Netherlands,111,Modern Sleeveless Trousers,Pants,5,0.0
Netherlands,246,Relaxed Satin Dress,Dresses,5,0.0
Netherlands,169,Vintage Linen Set,Sleepwear,5,0.0
Netherlands,181,Vintage High-Waist Shoes,Shoes,5,0.0
Netherlands,184,Vintage Wrap Trousers,Pants,5,0.0
Netherlands,190,Polished Cotton Dress,Dresses,5,0.0
Netherlands,202,Vintage High-Waist Tee,T-Shirts,5,0.0
Netherlands,208,Polished Wrap Tee,T-Shirts,5,0.0
Netherlands,222,Relaxed Wrap Dress,Dresses,5,0.0
Netherlands,236,Relaxed Linen Shoes,Shoes,5,0.0
Netherlands,240,Polished Linen Trousers,Pants,5,0.0
Netherlands,242,Relaxed Ribbed Shoes,Shoes,5,0.0
Netherlands,243,Polished Satin Set,Sleepwear,5,0.0
Netherlands,259,Polished Silk Trousers,Pants,5,0.0
Netherlands,323,Tailored Wrap Tee,T-Shirts,5,0.0
Netherlands,265,Relaxed Boxy Shoes,Shoes,5,0.0
Netherlands,267,Polished High-Waist Set,Sleepwear,5,0.0
Netherlands,274,Relaxed Wrap Set,Sleepwear,5,0.0
Netherlands,275,Relaxed Sleeveless Tee,T-Shirts,5,0.0
Netherlands,283,Essential Ribbed Shoes,Shoes,5,0.0
Netherlands,287,Relaxed Ribbed Set,Sleepwear,5,0.0
Netherlands,293,Essential Crew Shoes,Shoes,5,0.0
Netherlands,309,Essential Ribbed Dress,Dresses,5,0.0
Netherlands,310,Relaxed Ribbed Trousers,Pants,5,0.0
Netherlands,319,Essential Silk Dress,Dresses,5,0.0
Netherlands,322,Essential Sleeveless Dress,Dresses,5,0.0
Spain,495,Dresses Drop 7,Dresses,5,0.0
