item_id,sale_id,product_id,quantity,original_price,unit_price,discount_applied,discount_percent,discounted,item_total,sale_date_x,channel,channel_campaigns,sale_date_y,customer_id,country,age_range,signup_date,product_name,category,brand
1138,991,224,1,75.4,75.4,0.0,0.0,0,75.4,2025-04-20,App Mobile,App Mobile,2025-04-20,734,Netherlands,46-55,2025-03-28,Relaxed Linen Dress,Dresses,MATRIX
1968,338,459,1,75.17,75.17,0.0,0.0,0,75.17,2025-04-21,E-commerce,Website Banner,2025-04-21,670,Italy,36-45,2025-04-21,Bold High-Waist Dress,Dresses,MATRIX
2063,617,459,1,75.17,75.17,0.0,0.0,0,75.17,2025-05-18,E-commerce,Website Banner,2025-05-18,62,Spain,56-65,2025-03-30,Bold High-Waist Dress,Dresses,MATRIX
2211,660,116,1,74.81,74.81,0.0,0.0,0,74.81,2025-06-14,App Mobile,App Mobile,2025-06-14,86,Netherlands,46-55,2025-04-09,Modern High-Waist Trousers,Pants,MATRIX
3058,863,359,1,74.28,74.28,0.0,0.0,0,74.28,2025-04-17,E-commerce,Website Banner,2025-04-17,39,France,36-45,2025-04-05,Tailored Silk Shoes,Shoes,MATRIX
1707,420,320,1,74.26,74.26,0.0,0.0,0,74.26,2025-06-16,App Mobile,App Mobile,2025-06-16,828,France,16-25,2025-03-08,Essential Crew Dress,Dresses,MATRIX
1831,191,320,1,74.26,74.26,0.0,0.0,0,74.26,2025-05-23,App Mobile,App Mobile,2025-05-23,367,Netherlands,46-55,2025-03-19,Essential Crew Dress,Dresses,MATRIX
2454,1013,420,1,72.58,72.58,0.0,0.0,0,72.58,2025-04-30,App Mobile,App Mobile,2025-04-30,296,France,16-25,2025-06-02,Elegant Sleeveless Shoes,Shoes,MATRIX
732,276,358,1,71.86,71.86,0.0,0.0,0,71.86,2025-04-06,App Mobile,App Mobile,2025-06-04,420,Germany,36-45,2025-03-07,Tailored Wrap Set,Sleepwear,MATRIX
202,473,398,1,71.15,71.15,0.0,0.0,0,71.15,2025-04-30,E-commerce,Website Banner,2025-04-30,820,Spain,56-65,2025-01-29,Elegant Linen Set,Sleepwear,MATRIX
3189,179,379,1,70.82,70.82,0.0,0.0,0,70.82,2025-05-29,App Mobile,App Mobile,2025-05-29,663,Netherlands,26-35,2025-03-08,Essential Cotton Trousers,Pants,MATRIX
3113,482,463,1,70.56,70.56,0.0,0.0,0,70.56,2025-05-24,App Mobile,App Mobile,2025-05-24,272,Netherlands,56-65,2025-05-25,Bold Boxy Dress,Dresses,MATRIX
41,581,31,1,69.82,69.82,0.0,0.0,0,69.82,2025-05-31,E-commerce,Website Banner,2025-05-31,125,Germany,46-55,2025-05-05,Soft Silk Trousers,Pants,MATRIX
1406,31,31,1,69.82,69.82,0.0,0.0,0,69.82,2025-05-20,App Mobile,App Mobile,2025-05-20,776,Portugal,56-65,2025-03-18,Soft Silk Trousers,Pants,MATRIX
2490,424,31,1,69.82,69.82,0.0,0.0,0,69.82,2025-05-22,App Mobile,App Mobile,2025-05-22,956,Portugal,46-55,2025-04-02,Soft Silk Trousers,Pants,MATRIX
929,33,353,1,69.54,69.54,0.0,0.0,0,69.54,2025-04-23,E-commerce,Website Banner,2025-04-23,805,Germany,26-35,2025-02-21,Relaxed High-Waist Trousers,Pants,MATRIX
22,832,360,1,69.48,69.48,0.0,0.0,0,69.48,2025-04-23,E-commerce,Website Banner,2025-04-23,570,Spain,16-25,2025-04-13,Tailored Boxy Tee,T-Shirts,MATRIX
1785,670,360,1,69.48,69.48,0.0,0.0,0,69.48,2025-05-27,App Mobile,App Mobile,2025-05-27,820,Spain,56-65,2025-01-29,Tailored Boxy Tee,T-Shirts,MATRIX
684,209,474,1,68.47,68.47,0.0,0.0,0,68.47,2025-05-31,App Mobile,App Mobile,2025-05-31,436,Germany,26-35,2025-03-10,Bold Cotton Shoes,Shoes,MATRIX
1253,1014,474,1,68.47,68.47,0.0,0.0,0,68.47,2025-05-16,E-commerce,Website Banner,2025-05-16,578,Germany,16-25,2025-04-03,Bold Cotton Shoes,Shoes,MATRIX
3167,306,486,1,68.03,68.03,0.0,0.0,0,68.03,2025-04-26,E-commerce,Website Banner,2025-04-26,566,Italy,36-45,2025-02-11,T-Shirts Drop 4,T-Shirts,MATRIX
3055,42,470,1,67.73,67.73,0.0,0.0,0,67.73,2025-05-31,App Mobile,App Mobile,2025-05-31,191,Germany,16-25,2025-03-20,Sleepwear Drop 2,Sleepwear,MATRIX
1724,1213,67,1,67.37,67.37,0.0,0.0,0,67.37,2025-05-16,E-commerce,Website Banner,2025-05-16,155,Germany,26-35,2025-02-19,Modern Crew Tee,T-Shirts,MATRIX
1762,1178,239,1,66.99,66.99,0.0,0.0,0,66.99,2025-04-15,App Mobile,App Mobile,2025-04-15,274,Germany,16-25,2025-04-02,Polished Wrap Trousers,Pants,MATRIX
1356,1128,307,1,66.87,66.87,0.0,0.0,0,66.87,2025-05-31,App Mobile,App Mobile,2025-05-31,759,France,36-45,2025-02-09,Essential Crew Tee,T-Shirts,MATRIX
1050,180,197,1,66.68,66.68,0.0,0.0,0,66.68,2025-06-13,App Mobile,App Mobile,2025-06-13,641,Spain,36-45,2025-03-21,Polished Linen Shoes,Shoes,MATRIX
2153,1272,197,1,66.68,66.68,0.0,0.0,0,66.68,2025-04-15,App Mobile,App Mobile,2025-04-15,254,Italy,36-45,2025-04-21,Polished Linen Shoes,Shoes,MATRIX
2909,370,131,1,66.63,66.63,0.0,0.0,0,66.63,2025-04-21,App Mobile,App Mobile,2025-04-21,225,France,26-35,2025-03-12,Classic Cotton Set,Sleepwear,MATRIX
719,450,478,1,66.52,66.52,0.0,0.0,0,66.52,2025-04-30,App Mobile,App Mobile,2025-04-30,640,France,26-35,2025-01-20,T-Shirts Drop 2,T-Shirts,MATRIX
2134,1144,478,1,66.52,66.52,0.0,0.0,0,66.52,2025-05-20,E-commerce,Website Banner,2025-05-20,700,Portugal,16-25,2025-03-08,T-Shirts Drop 2,T-Shirts,MATRIX
1640,183,70,1,66.33,66.33,0.0,0.0,0,66.33,2025-05-16,E-commerce,Website Banner,2025-05-16,871,Netherlands,26-35,2025-04-08,Modern Boxy Dress,Dresses,MATRIX
185,1136,435,1,64.5,64.5,0.0,0.0,0,64.5,2025-06-14,App Mobile,App Mobile,2025-06-14,460,Netherlands,56-65,2025-02-24,Tailored Wrap Trousers,Pants,MATRIX
1624,54,435,1,64.5,64.5,0.0,0.0,0,64.5,2025-05-28,App Mobile,App Mobile,2025-05-28,517,Netherlands,26-35,2025-02-03,Tailored Wrap Trousers,Pants,MATRIX
1894,204,276,1,64.44,64.44,0.0,0.0,0,64.44,2025-05-06,E-commerce,Website Banner,2025-06-05,163,Italy,16-25,2025-03-18,Relaxed High-Waist Tee,T-Shirts,MATRIX
2601,1344,276,1,64.44,64.44,0.0,0.0,0,64.44,2025-04-21,App Mobile,App Mobile,2025-04-21,857,Germany,36-45,2025-04-21,Relaxed High-Waist Tee,T-Shirts,MATRIX
2521,466,194,1,64.11,64.11,0.0,0.0,0,64.11,2025-04-17,E-commerce,Website Banner,2025-04-17,538,Netherlands,46-55,2025-04-01,Vintage Sleeveless Set,Sleepwear,MATRIX
674,946,371,1,63.82,63.82,0.0,0.0,0,63.82,2025-04-16,App Mobile,App Mobile,2025-04-16,289,Netherlands,46-55,2025-04-30,Elegant Cotton Tee,T-Shirts,MATRIX
2257,1117,372,1,63.79,63.79,0.0,0.0,0,63.79,2025-06-15,E-commerce,Website Banner,2025-06-15,660,Italy,56-65,2025-04-23,Essential Linen Trousers,Pants,MATRIX
174,394,79,1,63.22,63.22,0.0,0.0,0,63.22,2025-06-15,E-commerce,Website Banner,2025-06-15,435,Netherlands,36-45,2025-02-17,Modern Satin Trousers,Pants,MATRIX
115,230,206,1,63.03,63.03,0.0,0.0,0,63.03,2025-04-21,App Mobile,App Mobile,2025-04-21,428,Spain,56-65,2025-04-18,Vintage Silk Trousers,Pants,MATRIX
1404,207,56,1,62.92,62.92,0.0,0.0,0,62.92,2025-05-15,E-commerce,Website Banner,2025-05-15,884,Spain,26-35,2025-04-13,Modern Wrap Shoes,Shoes,MATRIX
2400,436,38,1,62.8,62.8,0.0,0.0,0,62.8,2025-04-28,App Mobile,App Mobile,2025-04-28,481,France,56-65,2025-05-09,Soft Crew Tee,T-Shirts,MATRIX
718,436,317,1,62.63,62.63,0.0,0.0,0,62.63,2025-04-28,App Mobile,App Mobile,2025-04-28,481,France,56-65,2025-05-09,Relaxed High-Waist Set,Sleepwear,MATRIX
1997,1245,115,1,62.27,62.27,0.0,0.0,0,62.27,2025-05-17,E-commerce,Website Banner,2025-05-17,348,Germany,36-45,2025-02-19,Modern High-Waist Set,Sleepwear,MATRIX
1481,1135,437,1,62.17,62.17,0.0,0.0,0,62.17,2025-05-20,App Mobile,App Mobile,2025-05-20,946,France,16-25,2025-04-03,Elegant Boxy Dress,Dresses,MATRIX
1538,418,437,1,62.17,62.17,0.0,0.0,0,62.17,2025-06-05,App Mobile,App Mobile,2025-05-06,384,Germany,16-25,2025-04-22,Elegant Boxy Dress,Dresses,MATRIX
1044,626,50,1,61.95,61.95,0.0,0.0,0,61.95,2025-04-24,App Mobile,App Mobile,2025-04-24,376,Germany,36-45,2025-04-16,Modern Wrap Tee,T-Shirts,MATRIX
2354,779,266,1,61.67,61.67,0.0,0.0,0,61.67,2025-04-17,App Mobile,App Mobile,2025-04-17,577,Netherlands,26-35,2025-04-29,Polished Crew Trousers,Pants,MATRIX
1311,168,35,1,61.61,61.61,0.0,0.0,0,61.61,2025-04-04,App Mobile,App Mobile,2025-04-04,896,Portugal,46-55,2025-04-10,Modern Ribbed Dress,Dresses,MATRIX
2658,1103,35,1,61.61,61.61,0.0,0.0,0,61.61,2025-05-31,E-commerce,Website Banner,2025-05-31,393,France,46-55,2025-04-09,Modern Ribbed Dress,Dresses,MATRIX
131,1281,399,1,61.6,61.6,0.0,0.0,0,61.6,2025-06-04,App Mobile,App Mobile,2025-04-06,772,Spain,16-25,2025-01-29,Elegant Linen Shoes,Shoes,MATRIX
589,43,399,1,61.6,61.6,0.0,0.0,0,61.6,2025-04-15,App Mobile,App Mobile,2025-04-15,217,Italy,56-65,2025-04-10,Elegant Linen Shoes,Shoes,MATRIX
60,226,428,1,61.22,61.22,0.0,0.0,0,61.22,2025-04-23,App Mobile,App Mobile,2025-04-23,575,Netherlands,26-35,2025-04-15,Elegant High-Waist Shoes,Shoes,MATRIX
539,509,483,1,60.89,60.89,0.0,0.0,0,60.89,2025-05-15,E-commerce,Website Banner,2025-05-15,663,Netherlands,26-35,2025-03-08,T-Shirts Drop 3,T-Shirts,MATRIX
2091,370,483,1,60.89,60.89,0.0,0.0,0,60.89,2025-04-21,App Mobile,App Mobile,2025-04-21,225,France,26-35,2025-03-12,T-Shirts Drop 3,T-Shirts,MATRIX
2727,486,483,1,60.89,60.89,0.0,0.0,0,60.89,2025-04-19,App Mobile,App Mobile,2025-04-19,241,Spain,46-55,2025-03-27,T-Shirts Drop 3,T-Shirts,MATRIX
2291,510,340,1,60.83,60.83,0.0,0.0,0,60.83,2025-04-30,E-commerce,Website Banner,2025-04-30,892,Germany,46-55,2025-03-16,Tailored Cotton Shoes,Shoes,MATRIX
1551,1339,129,1,60.68,60.68,0.0,0.0,0,60.68,2025-04-23,App Mobile,App Mobile,2025-04-23,796,Netherlands,16-25,2025-03-03,Classic Linen Trousers,Pants,MATRIX
2342,52,129,1,60.68,60.68,0.0,0.0,0,60.68,2025-05-21,E-commerce,Website Banner,2025-05-21,438,Germany,16-25,2025-05-21,Classic Linen Trousers,Pants,MATRIX
67,1329,287,1,60.34,60.34,0.0,0.0,0,60.34,2025-04-27,App Mobile,App Mobile,2025-04-27,28,Spain,16-25,2025-04-02,Relaxed Ribbed Set,Sleepwear,MATRIX
271,247,287,1,60.34,60.34,0.0,0.0,0,60.34,2025-04-04,App Mobile,App Mobile,2025-04-04,672,Germany,56-65,2025-01-23,Relaxed Ribbed Set,Sleepwear,MATRIX
2913,1166,287,1,60.34,60.34,0.0,0.0,0,60.34,2025-05-17,E-commerce,Website Banner,2025-05-17,243,Germany,16-25,2025-01-27,Relaxed Ribbed Set,Sleepwear,MATRIX
2981,1339,54,1,60.33,60.33,0.0,0.0,0,60.33,2025-04-23,App Mobile,App Mobile,2025-04-23,796,Netherlands,16-25,2025-03-03,Modern Silk Dress,Dresses,MATRIX
507,404,324,1,60.31,60.31,0.0,0.0,0,60.31,2025-05-26,E-commerce,Website Banner,2025-05-26,929,Netherlands,26-35,2025-01-11,Tailored Linen Tee,T-Shirts,MATRIX
471,976,307,1,66.87,60.18,6.69,0.1,1,60.18,2025-06-06,E-commerce,Website Banner,2025-06-06,682,Portugal,16-25,2025-03-10,Essential Crew Tee,T-Shirts,MATRIX
1786,607,433,1,60.12,60.12,0.0,0.0,0,60.12,2025-04-30,App Mobile,App Mobile,2025-04-30,785,France,56-65,2025-03-18,Essential Boxy Trousers,Pants,MATRIX
2423,10,347,1,59.92,59.92,0.0,0.0,0,59.92,2025-05-21,E-commerce,Website Banner,2025-05-21,195,France,56-65,2025-02-28,Tailored Sleeveless Tee,T-Shirts,MATRIX
143,557,99,1,59.78,59.78,0.0,0.0,0,59.78,2025-04-25,App Mobile,App Mobile,2025-04-25,194,Netherlands,16-25,2025-04-22,Modern Boxy Tee,T-Shirts,MATRIX
3191,761,391,1,59.77,59.77,0.0,0.0,0,59.77,2025-05-31,E-commerce,Website Banner,2025-05-31,858,Germany,16-25,2025-04-10,Elegant Wrap Dress,Dresses,MATRIX
1991,89,464,1,59.58,59.58,0.0,0.0,0,59.58,2025-04-25,E-commerce,Website Banner,2025-04-25,46,Germany,56-65,2025-04-26,Bold Ribbed Shoes,Shoes,MATRIX
2437,277,291,1,59.56,59.56,0.0,0.0,0,59.56,2025-05-26,E-commerce,Website Banner,2025-05-26,791,Portugal,16-25,2025-04-05,Essential Silk Shoes,Shoes,MATRIX
676,190,160,1,59.38,59.38,0.0,0.0,0,59.38,2025-06-17,App Mobile,App Mobile,2025-06-17,247,Netherlands,46-55,2025-02-14,Classic High-Waist Set,Sleepwear,MATRIX
3071,255,160,1,59.38,59.38,0.0,0.0,0,59.38,2025-04-30,E-commerce,Website Banner,2025-04-30,509,Netherlands,36-45,2025-01-29,Classic High-Waist Set,Sleepwear,MATRIX
3078,435,244,1,59.32,59.32,0.0,0.0,0,59.32,2025-04-27,App Mobile,App Mobile,2025-04-27,613,Netherlands,16-25,2025-05-12,Relaxed Cotton Shoes,Shoes,MATRIX
110,1034,214,1,59.07,59.07,0.0,0.0,0,59.07,2025-05-31,App Mobile,App Mobile,2025-05-31,342,Netherlands,36-45,2025-04-24,Vintage Crew Trousers,Pants,MATRIX
889,1304,214,1,59.07,59.07,0.0,0.0,0,59.07,2025-04-14,App Mobile,App Mobile,2025-04-14,839,Germany,36-45,2025-01-29,Vintage Crew Trousers,Pants,MATRIX
1597,383,214,1,59.07,59.07,0.0,0.0,0,59.07,2025-04-15,App Mobile,App Mobile,2025-04-15,451,France,36-45,2025-05-09,Vintage Crew Trousers,Pants,MATRIX
1836,65,384,1,58.94,58.94,0.0,0.0,0,58.94,2025-05-06,E-commerce,Website Banner,2025-06-05,168,France,36-45,2025-01-23,Tailored Sleeveless Set,Sleepwear,MATRIX
759,127,63,1,58.67,58.67,0.0,0.0,0,58.67,2025-04-13,App Mobile,App Mobile,2025-04-13,490,Germany,56-65,2025-01-22,Soft Crew Set,Sleepwear,MATRIX
705,833,366,1,58.34,58.34,0.0,0.0,0,58.34,2025-04-29,E-commerce,Website Banner,2025-04-29,511,France,16-25,2025-04-18,Essential Wrap Trousers,Pants,MATRIX
1370,856,366,1,58.34,58.34,0.0,0.0,0,58.34,2025-04-17,E-commerce,Website Banner,2025-04-17,648,Germany,36-45,2025-02-18,Essential Wrap Trousers,Pants,MATRIX
2021,1179,366,1,58.34,58.34,0.0,0.0,0,58.34,2025-04-29,E-commerce,Website Banner,2025-04-29,462,Italy,36-45,2025-03-08,Essential Wrap Trousers,Pants,MATRIX
71,647,22,1,58.26,58.26,0.0,0.0,0,58.26,2025-04-30,E-commerce,Website Banner,2025-04-30,688,Italy,46-55,2025-04-02,Soft Satin Tee,T-Shirts,MATRIX
1315,323,22,1,58.26,58.26,0.0,0.0,0,58.26,2025-05-06,E-commerce,Website Banner,2025-06-05,512,Germany,56-65,2025-02-01,Soft Satin Tee,T-Shirts,MATRIX
2065,231,145,1,58.25,58.25,0.0,0.0,0,58.25,2025-04-24,E-commerce,Website Banner,2025-04-24,453,France,16-25,2025-02-08,Classic Boxy Shoes,Shoes,MATRIX
2140,947,101,1,58.11,58.11,0.0,0.0,0,58.11,2025-06-16,E-commerce,Website Banner,2025-06-16,127,Netherlands,56-65,2025-05-02,Classic Wrap Tee,T-Shirts,MATRIX
2175,594,101,1,58.11,58.11,0.0,0.0,0,58.11,2025-05-30,App Mobile,App Mobile,2025-05-30,69,Germany,16-25,2025-05-21,Classic Wrap Tee,T-Shirts,MATRIX
2696,402,225,1,58.11,58.11,0.0,0.0,0,58.11,2025-05-13,E-commerce,Website Banner,2025-05-13,301,France,26-35,2025-03-24,Polished Crew Shoes,Shoes,MATRIX
1745,264,321,1,58.09,58.09,0.0,0.0,0,58.09,2025-05-31,App Mobile,App Mobile,2025-05-31,131,Germany,46-55,2025-03-28,Relaxed Cotton Trousers,Pants,MATRIX
2846,601,83,1,57.8,57.8,0.0,0.0,0,57.8,2025-05-31,E-commerce,Website Banner,2025-05-31,387,France,46-55,2025-02-04,Modern Sleeveless Tee,T-Shirts,MATRIX
974,294,227,1,57.51,57.51,0.0,0.0,0,57.51,2025-06-17,E-commerce,Website Banner,2025-06-17,489,Germany,56-65,2025-05-17,Polished Crew Tee,T-Shirts,MATRIX
1632,1207,26,1,57.48,57.48,0.0,0.0,0,57.48,2025-05-04,App Mobile,App Mobile,2025-04-05,907,Spain,46-55,2025-03-11,Soft Crew Shoes,Shoes,MATRIX
1413,247,27,1,57.35,57.35,0.0,0.0,0,57.35,2025-04-04,App Mobile,App Mobile,2025-04-04,672,Germany,56-65,2025-01-23,Soft Boxy Dress,Dresses,MATRIX
2368,629,49,1,57.35,57.35,0.0,0.0,0,57.35,2025-05-26,App Mobile,App Mobile,2025-05-26,186,Netherlands,46-55,2025-03-27,Soft Boxy Tee,T-Shirts,MATRIX
357,331,222,1,57.19,57.19,0.0,0.0,0,57.19,2025-05-06,App Mobile,App Mobile,2025-06-05,100,Italy,26-35,2025-01-30,Relaxed Wrap Dress,Dresses,MATRIX
3316,1036,222,1,57.19,57.19,0.0,0.0,0,57.19,2025-06-13,E-commerce,Website Banner,2025-06-13,793,Italy,36-45,2025-05-10,Relaxed Wrap Dress,Dresses,MATRIX
602,78,53,1,57.17,57.17,0.0,0.0,0,57.17,2025-05-18,E-commerce,Website Banner,2025-05-18,321,Germany,36-45,2025-04-27,Soft Boxy Shoes,Shoes,MATRIX
116,11,288,1,57.11,57.11,0.0,0.0,0,57.11,2025-05-20,App Mobile,App Mobile,2025-05-20,187,France,26-35,2025-04-12,Essential Ribbed Tee,T-Shirts,MATRIX
200,564,288,1,57.11,57.11,0.0,0.0,0,57.11,2025-05-28,E-commerce,Website Banner,2025-05-28,511,France,16-25,2025-04-18,Essential Ribbed Tee,T-Shirts,MATRIX
2830,1169,288,1,57.11,57.11,0.0,0.0,0,57.11,2025-05-16,E-commerce,Website Banner,2025-05-16,490,Germany,56-65,2025-01-22,Essential Ribbed Tee,T-Shirts,MATRIX
2946,273,103,1,57.0,57.0,0.0,0.0,0,57.0,2025-06-16,App Mobile,App Mobile,2025-06-16,682,Portugal,16-25,2025-03-10,Classic Ribbed Tee,T-Shirts,MATRIX
2276,985,357,1,56.91,56.91,0.0,0.0,0,56.91,2025-05-04,E-commerce,Website Banner,2025-04-05,697,Germany,56-65,2025-03-31,Essential Boxy Set,Sleepwear,MATRIX
2750,635,357,1,56.91,56.91,0.0,0.0,0,56.91,2025-04-16,App Mobile,App Mobile,2025-04-16,104,Netherlands,56-65,2025-03-20,Essential Boxy Set,Sleepwear,MATRIX
1325,620,326,1,56.7,56.7,0.0,0.0,0,56.7,2025-05-20,E-commerce,Website Banner,2025-05-20,65,Spain,16-25,2025-05-09,Essential High-Waist Dress,Dresses,MATRIX
1574,504,326,1,56.7,56.7,0.0,0.0,0,56.7,2025-04-06,App Mobile,App Mobile,2025-06-04,795,Germany,36-45,2025-05-13,Essential High-Waist Dress,Dresses,MATRIX
513,1093,294,1,56.69,56.69,0.0,0.0,0,56.69,2025-05-25,App Mobile,App Mobile,2025-05-25,474,France,36-45,2025-03-28,Essential Sleeveless Shoes,Shoes,MATRIX
731,539,303,1,56.58,56.58,0.0,0.0,0,56.58,2025-04-26,E-commerce,Website Banner,2025-04-26,422,Netherlands,46-55,2025-02-25,Relaxed Satin Set,Sleepwear,MATRIX
3347,882,100,1,56.44,56.44,0.0,0.0,0,56.44,2025-06-15,App Mobile,App Mobile,2025-06-15,634,Portugal,46-55,2025-03-03,Classic Crew Dress,Dresses,MATRIX
312,183,314,1,56.29,56.29,0.0,0.0,0,56.29,2025-05-16,E-commerce,Website Banner,2025-05-16,871,Netherlands,26-35,2025-04-08,Relaxed Sleeveless Set,Sleepwear,MATRIX
1124,646,485,1,56.2,56.2,0.0,0.0,0,56.2,2025-05-14,E-commerce,Website Banner,2025-05-14,396,Netherlands,36-45,2025-04-07,Bold Sleeveless Shoes,Shoes,MATRIX
2954,430,422,1,55.91,55.91,0.0,0.0,0,55.91,2025-04-18,E-commerce,Website Banner,2025-04-18,654,Italy,56-65,2025-05-05,Elegant High-Waist Set,Sleepwear,MATRIX
2362,265,424,1,55.39,55.39,0.0,0.0,0,55.39,2025-05-26,App Mobile,App Mobile,2025-05-26,346,Italy,56-65,2025-01-26,Elegant Sleeveless Dress,Dresses,MATRIX
2538,531,97,1,55.27,55.27,0.0,0.0,0,55.27,2025-05-30,App Mobile,App Mobile,2025-05-30,900,Germany,36-45,2025-03-04,Modern High-Waist Shoes,Shoes,MATRIX
921,577,265,1,55.25,55.25,0.0,0.0,0,55.25,2025-05-27,E-commerce,Website Banner,2025-05-27,958,Germany,56-65,2025-02-23,Relaxed Boxy Shoes,Shoes,MATRIX
424,592,107,1,55.06,55.06,0.0,0.0,0,55.06,2025-05-17,E-commerce,Website Banner,2025-05-17,906,Netherlands,46-55,2025-05-03,Classic Linen Shoes,Shoes,MATRIX
3198,578,107,1,55.06,55.06,0.0,0.0,0,55.06,2025-04-25,App Mobile,App Mobile,2025-04-25,849,Italy,56-65,2025-05-25,Classic Linen Shoes,Shoes,MATRIX
2384,220,124,1,55.04,55.04,0.0,0.0,0,55.04,2025-04-18,E-commerce,Website Banner,2025-04-18,566,Italy,36-45,2025-02-11,Classic Linen Set,Sleepwear,MATRIX
1598,1230,126,1,55.03,55.03,0.0,0.0,0,55.03,2025-05-19,E-commerce,Website Banner,2025-05-19,954,Portugal,26-35,2025-02-19,Classic Silk Shoes,Shoes,MATRIX
1027,815,264,1,55.01,55.01,0.0,0.0,0,55.01,2025-04-27,App Mobile,App Mobile,2025-04-27,506,France,26-35,2025-05-22,Relaxed Satin Tee,T-Shirts,MATRIX
2453,707,188,1,55.01,55.01,0.0,0.0,0,55.01,2025-05-23,E-commerce,Website Banner,2025-05-23,154,France,36-45,2025-01-16,Polished Wrap Shoes,Shoes,MATRIX
29,653,461,1,54.91,54.91,0.0,0.0,0,54.91,2025-05-21,E-commerce,Website Banner,2025-05-21,168,France,36-45,2025-01-23,Bold High-Waist Tee,T-Shirts,MATRIX
2440,708,461,1,54.91,54.91,0.0,0.0,0,54.91,2025-04-16,App Mobile,App Mobile,2025-04-16,951,Portugal,26-35,2025-02-19,Bold High-Waist Tee,T-Shirts,MATRIX
2524,527,481,1,54.87,54.87,0.0,0.0,0,54.87,2025-05-28,E-commerce,Website Banner,2025-05-28,160,Germany,56-65,2025-02-12,Bold Crew Shoes,Shoes,MATRIX
79,1336,32,1,54.83,54.83,0.0,0.0,0,54.83,2025-04-04,E-commerce,Website Banner,2025-04-04,557,Spain,56-65,2025-01-22,Soft Silk Tee,T-Shirts,MATRIX
1554,41,32,1,54.83,54.83,0.0,0.0,0,54.83,2025-04-14,E-commerce,Website Banner,2025-04-14,367,Netherlands,46-55,2025-03-19,Soft Silk Tee,T-Shirts,MATRIX
2801,116,32,1,54.83,54.83,0.0,0.0,0,54.83,2025-05-04,App Mobile,App Mobile,2025-04-05,706,France,36-45,2025-04-26,Soft Silk Tee,T-Shirts,MATRIX
1536,193,271,1,54.28,54.28,0.0,0.0,0,54.28,2025-05-18,E-commerce,Website Banner,2025-05-18,92,Italy,46-55,2025-03-14,Essential Wrap Shoes,Shoes,MATRIX
2426,144,42,1,54.2,54.2,0.0,0.0,0,54.2,2025-04-20,App Mobile,App Mobile,2025-04-20,961,Germany,56-65,2025-03-24,Soft Ribbed Set,Sleepwear,MATRIX
2952,204,42,1,54.2,54.2,0.0,0.0,0,54.2,2025-05-06,E-commerce,Website Banner,2025-06-05,163,Italy,16-25,2025-03-18,Soft Ribbed Set,Sleepwear,MATRIX
2713,212,439,1,53.93,53.93,0.0,0.0,0,53.93,2025-05-05,App Mobile,App Mobile,2025-05-05,302,Germany,56-65,2025-03-13,Tailored Linen Trousers,Pants,MATRIX
